	Builder	Carpet Area (in sqft)	Status	Floor	Transaction	Furnishing	Facing	NearBy	Price(in ₹)	Price per sqft(in ₹)	Link	Location	House Size
0	Chowriappa Constellation	1414	Ready to Move	11 out of 14	Resale	Semi-Furnished	East	East Facing Property	13700000	9689	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Chowriappa Constellation Kothnur	2 BHK
1	Vijayanagar Court Apartments	800	Ready to Move	3 out of 3	Resale	Furnished	West	Not Available	7500000	8333	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Vijayanagar Court Apartments	2 BHK
2	Magan Silver Hill	635	Ready to Move	1 out of 3	Resale	Furnished	North - East	Near Abbey naidu studio	2500000	3937	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Magan Silver Hill	1 BHK
3	Not Available	1153	Ready to Move	2 out of 4	Resale	Unfurnished	West	Not Available	11000000	8148	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133		2 BHK
4	Total Environment Windmills Of Your Mind	5800	Ready to Move	7 out of 13	Resale	Semi-Furnished	East	Near Whitefield Metro Station	100000000	16949	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Total Environment Windmills	5 BHK
5	Not Available	125	Ready to Move	4 out of 4	Resale	Furnished	4	Not Available	95000000	39583	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133		4 BHK
6	Samhita Sarovar 	1190	Ready to Move	1 out of 4	Resale	Unfurnished	West	Not Available	8000000	6202	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Samhita Sarovar Horamavu	2 BHK
7	Esteem Kings Court	1380	Ready to Move	3 out of 4	Resale	Furnished	East	East Facing Property	24800000	16052	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Esteem Kings Court	3 BHK
8	Not Available	2350	Ready to Move	2 out of 4	Resale	Unfurnished	North	Not Available	25000000	10638	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Colony Basaveshwar Nagar	3 BHK
9	Vaishnavi Nakshatra	1699	Ready to Move	7 out of 13	Resale	Unfurnished	North - East	Not Available	23000000	13537	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Vaishnavi Nakshatra Yeswanthpur	3 BHK
